act_au01_89-1,['528_1'-1]
act_au17_3-48,['7213_1'-1,'5773_1'-1,'6874_1'-1,'200_1'-1,'6252_1'-1,'5878_1'-1,'5770_1'-1,'2855_1'-1,'5276_1'-1,'4479_1'-1,'4177_1'-1,'4019_1'-1,'3808_1'-1,'3691_1'-1,'3178_1'-1,'2220_1'-1,'94_1'-1,'1843_1'-1,'1739_1'-1,'1253_1'-1,'212_1'-1]
act_au24_9-47,['166_1'-1,'7002_1'-1,'7199_1'-1,'2911_1'-1,'6778_1'-1,'6485_1'-1,'6422_1'-1,'6242_1'-1,'6048_1'-1,'4984_1'-1,'4454_1'-1,'1811_1'-1,'4696_1'-1,'4474_1'-1,'4170_1'-1,'2410_1'-1,'3862_1'-1,'3538_1'-1,'1764_1'-1,'3091_1'-1,'3024_1'-1,'276_1'-2,'2092_1'-1,'1837_1'-1,'1555_1'-1,'796_1'-1]
act_au07_26-43,['4743_1'-1,'6702_1'-1,'6523_1'-1,'6379_1'-1,'6007_1'-1,'5676_1'-1,'5246_1'-1,'396_1'-1,'4789_1'-1,'4434_1'-1,'2848_1'-1,'592_1'-1,'3124_1'-1,'2601_1'-1,'2526_1'-1,'2169_1'-1,'683_1'-1,'1816_1'-1,'1694_1'-1,'1300_1'-1,'844_1'-1]
act_au09_24-7,['7615_1'-1,'6331_1'-1,'6148_1'-1,'1010_1'-1,'3497_1'-1,'1156_1'-1]
act_au12_26-10,['6668_1'-1,'6383_1'-1,'6209_1'-1,'1088_1'-1,'1139_1'-1]
act_au14_22-21,['272_1'-1,'7162_1'-1,'7051_1'-1,'6599_1'-1,'675_1'-1,'6217_1'-1,'4567_1'-1,'5224_1'-1,'4862_1'-1,'2776_1'-1,'2671_1'-1,'2184_1'-1,'1149_1'-1,'230_1'-1]
act_au20_26-16,['3503_1'-2,'5718_1'-1,'4129_1'-1,'3871_1'-1,'2597_1'-1,'1682_1'-1,'1528_1'-1,'46_1'-1]
act_au23_2-43,['1684_1'-1,'7407_1'-1,'5411_1'-1,'7104_1'-1,'6848_1'-1,'6611_1'-1,'6532_1'-1,'6232_1'-1,'6058_1'-1,'5763_1'-1,'5520_1'-1,'5275_1'-1,'5108_1'-1,'2519_1'-1,'4842_1'-1,'2410_1'-1,'3861_1'-1,'3535_1'-1,'2931_1'-1,'2544_1'-1,'2425_1'-1,'1460_1'-1,'1543_1'-1,'877_1'-1,'644_1'-1]
act_au04_20-40,['6969_1'-1,'6850_1'-1,'6537_1'-1,'1107_1'-1,'6176_1'-1,'5864_1'-1,'5489_1'-1,'4446_1'-1,'739_1'-1,'4808_1'-1,'4427_1'-1,'3101_1'-1,'3774_1'-1,'3562_1'-1,'3235_1'-1,'1803_1'-1,'1312_1'-1,'861_1'-1,'609_1'-1,'17_1'-1]
act_au06_27-7,['7591_1'-1,'258_1'-1,'6166_1'-1,'1130_1'-1]
act_au10_26-45,['760_1'-2,'2640_1'-1,'6581_1'-1,'6195_1'-1,'3514_1'-1,'5311_1'-1,'3743_1'-1,'5027_1'-1,'3827_1'-2,'4432_1'-1,'3037_1'-1,'3943_1'-1,'3291_1'-1,'3638_1'-1,'3489_1'-1,'3005_1'-1,'2117_1'-1,'2348_1'-1,'2162_1'-1,'1751_1'-1,'1676_1'-1,'1319_1'-1,'763_1'-1,'188_1'-1]
act_au17_4-48,['3050_1'-1,'2949_1'-1,'4919_1'-1,'6782_1'-1,'6427_1'-1,'6250_1'-1,'6055_1'-1,'5877_1'-1,'5518_1'-1,'5400_1'-1,'5274_1'-1,'5107_1'-1,'4845_1'-1,'4478_1'-1,'2123_1'-1,'3071_1'-1,'638_1'-1,'2094_1'-1,'1738_1'-1,'1238_1'-1,'1208_1'-1,'669_1'-1]
act_au24_10-47,['7000_1'-1,'6638_1'-1,'6484_1'-1,'6420_1'-1,'6240_1'-1,'3230_1'-1,'1720_1'-1,'5103_1'-1,'2590_1'-1,'4837_1'-1,'4694_1'-1,'652_1'-1,'4169_1'-1,'4011_1'-1,'3781_1'-1,'276_1'-2,'3527_1'-1,'3088_1'-1,'3023_1'-1,'2732_1'-1,'2654_1'-1,'2536_1'-1,'2402_1'-1,'2211_1'-1,'2089_1'-1,'1836_1'-1,'555_1'-1,'1553_1'-1,'795_1'-1,'585_1'-1,'470_1'-1]
act_au25_26-11,['7590_1'-1,'2227_1'-1,'3423_1'-1,'1330_1'-1,'1137_1'-1,'397_1'-1]
act_au02_19-33,['7590_1'-1,'7263_1'-1,'6984_1'-1,'5513_1'-1,'5253_1'-1,'5035_1'-1,'2749_1'-1,'3820_1'-1,'3645_1'-1,'3044_1'-1,'1620_1'-1,'1645_1'-1]
act_au07_27-43,['7269_1'-1,'6947_1'-1,'6183_1'-1,'6006_1'-1,'1988_1'-1,'396_1'-2,'4894_1'-1,'4786_1'-1,'4652_1'-1,'4431_1'-1,'4305_1'-1,'4247_1'-1,'3889_1'-1,'919_1'-1,'3227_1'-1,'878_1'-1,'2890_1'-1,'2523_1'-1,'2166_1'-1,'2045_1'-1,'1842_1'-1,'1691_1'-1,'1473_1'-1,'838_1'-1,'644_1'-1,'151_1'-1]
act_au09_25-7,['1156_1'-1,'6324_1'-1,'4626_1'-1,'3495_1'-1,'1147_1'-1]
act_au11_19-16,['6629_1'-1,'6537_1'-1,'1550_1'-1,'3482_1'-1,'696_1'-1,'1528_1'-1,'1104_1'-1,'366_1'-1]
act_au12_27-9,['156_1'-1,'6380_1'-1,'6204_1'-1,'4667_1'-1,'3500_1'-1,'2068_1'-1,'1135_1'-1,'225_1'-1]
act_au14_23-21,['156_1'-1,'7151_1'-1,'4048_1'-1,'6595_1'-1,'6215_1'-1,'5222_1'-1,'3807_1'-1,'4135_1'-1,'1840_1'-1,'1819_1'-1,'2771_1'-1,'81_1'-1]
act_au20_27-15,['6199_1'-1,'4120_1'-1,'1901_1'-1,'1994_1'-1,'1680_1'-1,'1527_1'-1,'1328_1'-1]
act_au23_3-43,['1684_1'-1,'7404_1'-1,'6591_1'-1,'6316_1'-1,'6057_1'-1,'1597_1'-1,'5760_1'-1,'2855_1'-1,'5269_1'-1,'4024_1'-1,'4840_1'-1,'4010_1'-1,'3533_1'-1,'2927_1'-1,'2727_1'-1,'2542_1'-1,'2422_1'-1,'2103_1'-1,'1831_1'-1,'301_1'-1]
act_au04_21-40,['7171_1'-1,'6849_1'-1,'5876_1'-1,'5699_1'-1,'3078_1'-1,'3318_1'-1,'4424_1'-1,'3768_1'-1,'3555_1'-1,'3481_1'-1,'3234_1'-1,'2888_1'-1,'2396_1'-1,'1414_1'-1,'1523_1'-1,'875_1'-1,'489_1'-1,'11_1'-1]
act_au06_28-6,['963_1'-1]
act_au17_5-48,['4386_1'-1,'7104_1'-1,'6053_1'-2,'6873_1'-1,'3256_1'-1,'6426_1'-1,'6249_1'-1,'5768_1'-1,'3048_1'-1,'5272_1'-1,'2590_1'-1,'1997_1'-1,'2851_1'-1,'4175_1'-1,'3070_1'-1,'2935_1'-1,'2657_1'-1,'2548_1'-1,'2091_1'-1,'81_1'-1,'833_1'-1]
act_au24_11-46,['7255_1'-1,'6999_1'-1,'3816_1'-1,'6483_1'-1,'191_1'-1,'6239_1'-1,'2825_1'-1,'5721_1'-1,'5101_1'-1,'4836_1'-1,'2402_1'-1,'4368_1'-1,'4168_1'-1,'4010_1'-1,'3295_1'-2,'2161_1'-1,'3678_1'-1,'2590_1'-1,'2653_1'-1,'2208_1'-1,'652_1'-1,'1551_1'-1,'790_1'-1,'276_1'-1]
act_au02_20-33,['7588_1'-1,'7315_1'-1,'6471_1'-1,'5621_1'-1,'5316_1'-1,'5030_1'-1,'2749_1'-1,'4347_1'-1,'4046_1'-1,'3744_1'-1,'1092_1'-1,'3043_1'-1,'2900_1'-1,'2718_1'-1,'1795_1'-1,'1640_1'-1,'1531_1'-1,'768_1'-1,'551_1'-1,'501_1'-1]
act_au07_28-42,['7268_1'-1,'1689_1'-2,'6522_1'-1,'6004_1'-1,'4220_1'-1,'5672_1'-1,'5484_1'-1,'5031_1'-1,'1784_1'-1,'4784_1'-1,'4650_1'-1,'2559_1'-1,'3501_1'-1,'2888_1'-1,'2668_1'-1,'683_1'-1,'2165_1'-1,'1470_1'-1,'836_1'-1,'643_1'-1,'372_1'-1]
act_au11_20-15,['7587_1'-1,'6536_1'-1,'2038_1'-1,'4731_1'-1,'3479_1'-1,'2431_1'-1,'2096_1'-1,'214_1'-1,'192_1'-1]
act_au12_28-9,['7587_1'-1,'6203_1'-1,'5666_1'-1,'2042_1'-1,'1132_1'-1,'223_1'-1]
act_au20_28-14,['6197_1'-1,'5714_1'-1,'4119_1'-1,'1904_1'-1,'1992_1'-1,'1526_1'-1,'1326_1'-1]
act_au04_22-40,['7272_1'-1,'7064_1'-1,'6847_1'-1,'5863_1'-1,'5683_1'-1,'5211_1'-1,'5087_1'-1,'4251_1'-1,'3766_1'-1,'3149_1'-1,'2119_1'-1,'1799_1'-1,'1522_1'-1,'1305_1'-1,'1129_1'-1,'602_1'-1]
act_au06_29-6,['960_1'-1,'6373_1'-1,'6163_1'-1]
act_au09_26-7,['6323_1'-1,'6142_1'-1,'1010_1'-1,'3495_1'-1]
act_au24_12-46,['7195_1'-1,'2402_1'-1,'4332_1'-1,'2524_1'-1,'270_1'-1,'6046_1'-1,'5871_1'-1,'5100_1'-1,'4691_1'-1,'4367_1'-1,'4165_1'-1,'4009_1'-1,'3861_1'-1,'1839_1'-1,'3677_1'-1,'3299_1'-1,'555_1'-1,'230_1'-1,'1834_1'-1,'1728_1'-1,'1549_1'-1,'787_1'-1,'572_1'-1,'466_1'-1,'254_1'-1]
act_au25_27-10,['7586_1'-1,'1328_1'-1,'1137_1'-1,'420_1'-1]
act_au02_21-32,['7586_1'-1,'7312_1'-1,'7196_1'-1,'6706_1'-1,'6470_1'-1,'5315_1'-1,'5026_1'-1,'4818_1'-1,'4665_1'-1,'1089_1'-1,'1796_1'-1,'1092_1'-1,'1101_1'-1,'3042_1'-1,'1831_1'-1,'1639_1'-1,'1120_1'-1,'500_1'-1]
act_au07_29-42,['7267_1'-1,'6941_1'-1,'6691_1'-1,'6521_1'-1,'5481_1'-1,'434_1'-1,'4782_1'-1,'4647_1'-1,'2797_1'-1,'4241_1'-1,'4108_1'-1,'3224_1'-1,'3121_1'-1,'2666_1'-1,'1635_1'-1,'2521_1'-1,'2164_1'-1,'1815_1'-1,'1512_1'-1,'370_1'-1]
act_au12_29-9,['6376_1'-1,'6201_1'-1,'4664_1'-1,'3493_1'-1,'1130_1'-1,'222_1'-1]
act_au14_24-21,['7585_1'-1,'7150_1'-1,'7049_1'-1,'6591_1'-1,'6214_1'-1,'4857_1'-1,'4657_1'-1,'731_1'-1,'3788_1'-1,'3662_1'-1,'2763_1'-1,'2047_1'-1,'1528_1'-1]
act_au17_6-48,['7585_1'-1,'7002_1'-1,'3089_1'-1,'6781_1'-1,'3798_1'-1,'6247_1'-1,'546_1'-1,'2318_1'-1,'134_1'-1,'1840_1'-2,'2656_1'-1,'2547_1'-1,'2407_1'-1,'2088_1'-1,'1203_1'-1,'831_1'-1]
act_au20_29-13,['7585_1'-1,'6196_1'-1,'1618_1'-1,'4129_1'-1,'3525_1'-1,'1563_1'-1,'1325_1'-1]
act_au04_23-38,['7063_1'-1,'6846_1'-1,'2728_1'-1,'6534_1'-1,'6160_1'-1,'5862_1'-1,'3279_1'-1,'1414_1'-1,'4422_1'-1,'4250_1'-1,'3550_1'-1,'2518_1'-1,'1793_1'-1,'1521_1'-1,'1332_1'-1,'1129_1'-1,'870_1'-1]
act_au06_30-6,['963_1'-1,'1107_1'-1,'208_1'-1]
act_au24_13-46,['7194_1'-1,'2524_1'-1,'6774_1'-1,'4423_1'-1,'6415_1'-1,'6045_1'-1,'5870_1'-1,'5693_1'-1,'5363_1'-1,'2717_1'-1,'4688_1'-1,'2262_1'-1,'4163_1'-1,'3734_1'-1,'3675_1'-1,'3008_1'-1,'2730_1'-1,'2257_1'-1,'230_1'-1,'1833_1'-1,'1548_1'-1,'786_1'-1,'252_1'-1]
act_au25_28-10,['7584_1'-1,'4588_1'-1,'1326_1'-1]
act_au10_27-45,['2640_1'-1,'6578_1'-1,'6513_1'-1,'6193_1'-1,'5847_1'-1,'5307_1'-1,'5223_1'-1,'5023_1'-1,'4322_1'-1,'3852_1'-1,'4429_1'-1,'4358_1'-1,'4238_1'-1,'4061_1'-1,'3939_1'-1,'3621_1'-1,'1104_1'-1,'2593_1'-1,'2345_1'-1,'2159_1'-1,'2051_1'-1,'1424_1'-1,'836_1'-1,'762_1'-1]
act_au11_21-14,['7583_1'-1,'6626_1'-1,'6535_1'-1,'4726_1'-1]
act_au12_30-9,['7583_1'-1,'1088_1'-1,'6199_1'-1,'4662_1'-1,'1128_1'-1]
act_au14_25-21,['7583_1'-1,'7162_1'-1,'7048_1'-1,'6212_1'-1,'272_1'-1,'5216_1'-1,'4654_1'-1,'3786_1'-1,'3658_1'-1,'675_1'-1,'1840_1'-1,'2179_1'-1,'81_1'-1,'1527_1'-1]
act_au17_7-47,['7583_1'-1,'7289_1'-1,'7211_1'-1,'7099_1'-1,'6780_1'-1,'6659_1'-1,'6555_1'-1,'6246_1'-1,'6052_1'-1,'5876_1'-1,'5506_1'-1,'2958_1'-1,'5269_1'-1,'5103_1'-1,'4943_1'-1,'4547_1'-1,'4477_1'-1,'4172_1'-1,'3863_1'-1,'3686_1'-1,'3171_1'-1,'3067_1'-1,'2546_1'-1,'2085_1'-1,'587_1'-1,'1202_1'-1,'665_1'-1]
act_au20_30-13,['7583_1'-1,'6194_1'-1,'5708_1'-1,'1901_1'-1,'1563_1'-1,'1324_1'-1,'677_1'-1]
act_au04_24-38,['489_1'-2,'2371_1'-1,'6642_1'-1,'6533_1'-1,'6366_1'-1,'6158_1'-1,'5861_1'-1,'5207_1'-1,'5084_1'-1,'4921_1'-1,'4796_1'-1,'4420_1'-1,'3758_1'-1,'3548_1'-1,'3146_1'-1,'2877_1'-1,'1336_1'-1,'1120_1'-1]
act_au07_30-42,['2275_1'-1,'6802_1'-1,'6172_1'-1,'5999_1'-1,'5842_1'-1,'1737_1'-1,'4645_1'-1,'4429_1'-1,'4302_1'-1,'4240_1'-1,'4106_1'-1,'3495_1'-1,'3222_1'-1,'2885_1'-1,'1462_1'-1,'1347_1'-1,'663_1'-1]
act_au24_14-46,['7397_1'-1,'7193_1'-1,'2402_1'-2,'6852_1'-1,'6481_1'-1,'6413_1'-1,'5868_1'-1,'1720_1'-1,'1832_1'-1,'652_1'-1,'4366_1'-1,'2844_1'-1,'3860_1'-1,'3804_1'-1,'3674_1'-1,'3522_1'-1,'3293_1'-1,'2590_1'-1,'2651_1'-1,'2532_1'-1,'2388_1'-1,'2202_1'-1,'1841_1'-1,'1725_1'-1,'1547_1'-1,'780_1'-1,'404_1'-1,'251_1'-1]
act_au25_29-10,['7582_1'-1,'5702_1'-1,'4539_1'-1,'1325_1'-1]
act_au02_22-32,['7582_1'-1,'7309_1'-1,'7105_1'-1,'6981_1'-1,'1796_1'-1,'6468_1'-1,'5612_1'-1,'5311_1'-1,'5016_1'-1,'4817_1'-1,'3061_1'-1,'2898_1'-1,'1625_1'-1,'757_1'-1,'499_1'-1]
act_au06_31-6,['71_1'-1,'6160_1'-1,'1120_1'-1]
act_au10_28-43,['6957_1'-1,'6705_1'-1,'6577_1'-1,'6511_1'-1,'1988_1'-1,'5701_1'-1,'5336_1'-1,'4446_1'-1,'5017_1'-1,'4388_1'-1,'4428_1'-1,'3935_1'-1,'3830_1'-1,'3743_1'-1,'3617_1'-1,'3532_1'-1,'3236_1'-1,'2982_1'-1,'2344_1'-1,'760_1'-1]
act_au12_31-9,['1149_1'-1,'5661_1'-1,'4661_1'-1,'1104_1'-1,'2033_1'-1,'1125_1'-1,'219_1'-1]
act_au14_26-21,['1149_1'-1,'7046_1'-1,'6581_1'-1,'3467_1'-1,'4853_1'-1,'4651_1'-1,'2745_1'-1,'2144_1'-1,'2178_1'-1]
act_au17_8-47,['1149_1'-1,'7406_1'-1,'7288_1'-1,'6779_1'-1,'6244_1'-1,'6050_1'-1,'1837_1'-1,'5505_1'-1,'5398_1'-1,'4942_1'-1,'4476_1'-1,'3827_1'-1,'4279_1'-1,'4171_1'-1,'4012_1'-1,'3685_1'-1,'3170_1'-1,'3066_1'-1,'2737_1'-1,'2653_1'-1,'2311_1'-1,'2400_1'-1,'2084_1'-1,'1838_1'-1,'1733_1'-1,'794_1'-1,'664_1'-1]
act_au04_25-38,['6641_1'-1,'6364_1'-1,'5675_1'-1,'5474_1'-1,'4916_1'-1,'4794_1'-1,'4419_1'-1,'657_1'-1,'2876_1'-1,'2514_1'-1,'2391_1'-1,'1910_1'-1,'1512_1'-1,'1118_1'-1]
act_au07_31-42,['4415_1'-1,'6170_1'-1,'5998_1'-1,'5476_1'-1,'5023_1'-1,'2502_1'-1,'1708_1'-1,'3495_1'-1,'3218_1'-1,'2884_1'-1,'2664_1'-1,'2587_1'-1,'2377_1'-1,'592_1'-1,'1515_1'-1,'825_1'-1,'362_1'-1,'123_1'-1]
act_au11_22-14,['6625_1'-1,'6338_1'-1,'6190_1'-1,'4725_1'-1,'51_1'-1]
act_au20_31-12,['6192_1'-1,'4567_1'-1,'1901_1'-1,'1563_1'-1,'1323_1'-1]
act_au24_15-46,['7581_1'-1,'3864_1'-1,'7191_1'-1,'1825_1'-1,'6995_1'-1,'2238_1'-1,'6773_1'-1,'404_1'-1,'6420_1'-1,'6228_1'-1,'5865_1'-1,'5097_1'-1,'4834_1'-1,'2255_1'-1,'4161_1'-1,'4005_1'-1,'3859_1'-1,'3802_1'-1,'276_1'-1,'3292_1'-1,'2911_1'-1,'2729_1'-1,'1639_1'-1,'2201_1'-1,'1832_1'-1,'1724_1'-1,'1546_1'-1,'567_1'-1,'401_1'-1,'250_1'-1]
act_au25_30-10,['7581_1'-1,'5332_1'-1,'4530_1'-1,'1324_1'-1,'1039_1'-1,'376_1'-1]
act_au06_32-6,['6158_1'-1,'1118_1'-1]
act_au09_27-7,['6321_1'-1,'6139_1'-1,'1010_1'-1,'3492_1'-1]
act_au17_9-46,['7405_1'-1,'7209_1'-1,'7094_1'-1,'2911_1'-1,'587_1'-1,'6778_1'-1,'6242_1'-1,'5502_1'-1,'378_1'-1,'4840_1'-1,'4475_1'-1,'4170_1'-1,'3169_1'-1,'3066_1'-1,'2927_1'-1,'2544_1'-1,'2397_1'-1,'2081_1'-1,'1837_1'-1,'1732_1'-1,'1200_1'-1,'790_1'-1,'663_1'-1,'520_1'-1]
act_au02_23-32,['1089_1'-2,'7192_1'-1,'6980_1'-1,'6465_1'-1,'6381_1'-1,'5306_1'-1,'1796_1'-1,'1620_1'-1,'1470_1'-1,'755_1'-1,'542_1'-1,'497_1'-1]
act_au07_32-41,['1837_1'-1,'6686_1'-1,'6637_1'-1,'6516_1'-1,'6168_1'-1,'5475_1'-1,'4775_1'-1,'4424_1'-1,'4291_1'-1,'3492_1'-1,'3217_1'-1,'2882_1'-1,'1815_1'-1,'2518_1'-1,'2155_1'-1,'1691_1'-1,'1094_1'-1,'824_1'-1]
act_au12_32-9,['1135_1'-1,'5651_1'-1,'4659_1'-1,'3532_1'-1]
act_au24_16-46,['7065_1'-1,'6994_1'-1,'6845_1'-1,'6628_1'-1,'6478_1'-1,'2157_1'-1,'5864_1'-1,'3623_1'-1,'4936_1'-1,'4833_1'-1,'3242_1'-1,'4159_1'-1,'4002_1'-1,'3864_1'-1,'2162_1'-1,'2984_1'-1,'2910_1'-1,'1825_1'-1,'2650_1'-1,'2385_1'-1,'2200_1'-1,'1723_1'-1,'1543_1'-1,'770_1'-1,'558_1'-1,'249_1'-1]
act_au25_31-10,['1137_1'-1,'4526_1'-1,'1323_1'-1,'176_1'-1]
act_au06_33-6,['4658_1'-1,'203_1'-1]
act_au10_29-42,['6508_1'-1,'6388_1'-1,'6185_1'-1,'3514_1'-1,'5699_1'-1,'5288_1'-1,'5213_1'-1,'5016_1'-1,'2720_1'-1,'4650_1'-1,'4356_1'-1,'4050_1'-1,'3612_1'-1,'3532_1'-1,'2980_1'-1,'2841_1'-1,'753_1'-1,'161_1'-1]
act_au11_23-14,['391_1'-1,'6622_1'-1,'6186_1'-1,'5954_1'-1,'5220_1'-1,'4722_1'-1,'330_1'-1]
act_au17_10-46,['7404_1'-1,'6511_1'-1,'7092_1'-1,'7000_1'-1,'6871_1'-1,'2262_1'-1,'6656_1'-1,'6553_1'-1,'6240_1'-1,'5500_1'-1,'5099_1'-1,'4837_1'-1,'4474_1'-1,'4276_1'-1,'4169_1'-1,'4011_1'-1,'3683_1'-1,'3296_1'-1,'2543_1'-1,'2211_1'-1,'2081_1'-1,'663_1'-1]
act_au02_24-28,['7189_1'-1,'6979_1'-1,'6687_1'-1,'6463_1'-1,'5590_1'-1,'5509_1'-1,'5012_1'-1,'4814_1'-1,'4658_1'-1,'1089_1'-1,'3725_1'-1,'3040_1'-1,'2895_1'-1,'1616_1'-1,'1467_1'-1]
act_au04_26-37,['4538_1'-1,'5198_1'-1,'1129_1'-2,'6150_1'-1,'3519_1'-1,'5671_1'-1,'5201_1'-1,'4793_1'-1,'4420_1'-1,'4248_1'-1,'2870_1'-1,'1784_1'-1,'1510_1'-1,'879_1'-1,'551_1'-1,'407_1'-1]
act_au07_33-41,['4270_1'-1,'6929_1'-1,'6799_1'-1,'1654_1'-1,'6636_1'-1,'2752_1'-1,'753_1'-1,'5991_1'-1,'5471_1'-1,'4422_1'-1,'4290_1'-1,'4103_1'-1,'3625_1'-1,'3213_1'-1,'2880_1'-1,'2517_1'-1,'2031_1'-1,'1679_1'-1,'823_1'-1,'116_1'-1]
act_au09_28-7,['1147_1'-1,'5979_1'-1,'1010_1'-1,'3489_1'-1,'1078_1'-1]
act_au14_27-20,['7142_1'-1,'6209_1'-1,'4650_1'-1,'687_1'-1,'2744_1'-1,'2161_1'-1,'272_1'-1,'2044_1'-1,'222_1'-1]
act_au24_17-46,['7393_1'-1,'3288_1'-1,'7181_1'-1,'6993_1'-1,'6844_1'-1,'2257_1'-1,'6472_1'-1,'6409_1'-1,'6038_1'-1,'5876_1'-1,'5262_1'-1,'2519_1'-1,'4832_1'-1,'1814_1'-1,'3230_1'-1,'4158_1'-1,'4000_1'-1,'3295_1'-1,'2157_1'-1,'3515_1'-1,'2980_1'-1,'2909_1'-1,'2728_1'-1,'2649_1'-1,'2198_1'-1,'1831_1'-1,'1720_1'-1,'1541_1'-1,'769_1'-1,'555_1'-1,'404_1'-1,'248_1'-1]
act_au25_32-10,['1137_1'-1,'5314_1'-1,'2343_1'-1,'1322_1'-1,'1031_1'-1]
act_au10_30-40,['6847_1'-1,'6693_1'-1,'6507_1'-1,'6386_1'-1,'3514_1'-1,'5697_1'-1,'2586_1'-1,'5015_1'-1,'4415_1'-1,'4354_1'-1,'4237_1'-1,'4046_1'-1,'3827_1'-1,'738_1'-1,'974_1'-1,'2840_1'-1,'2547_1'-1,'2337_1'-1,'2152_1'-1]
act_au17_11-46,['7403_1'-1,'7282_1'-1,'7207_1'-1,'6999_1'-1,'2701_1'-1,'6655_1'-1,'2550_1'-1,'6239_1'-1,'2342_1'-1,'5496_1'-1,'5095_1'-1,'4275_1'-1,'4010_1'-1,'3295_1'-1,'2924_1'-1,'2651_1'-1,'2208_1'-1,'2076_1'-1,'587_1'-1,'663_1'-1]
act_au23_4-42,['2021_1'-1,'7403_1'-1,'7094_1'-1,'6525_1'-1,'6055_1'-1,'2422_1'-1,'5256_1'-1,'5105_1'-1,'4432_1'-1,'4380_1'-1,'3788_1'-1,'3686_1'-1,'3167_1'-1,'3001_1'-1,'2924_1'-1,'1587_1'-1,'2421_1'-1,'1531_1'-1,'630_1'-1,'290_1'-1]
act_au04_27-37,['7157_1'-1,'7038_1'-1,'6807_1'-1,'6363_1'-1,'6148_1'-1,'3519_1'-1,'5668_1'-1,'5466_1'-1,'5360_1'-1,'5198_1'-1,'1414_1'-1,'4658_1'-1,'4419_1'-1,'4247_1'-1,'3753_1'-1,'1129_1'-1,'1780_1'-1,'17_1'-1,'1506_1'-1,'858_1'-1,'406_1'-1]
act_au06_34-6,['967_1'-1,'6370_1'-1,'6154_1'-1,'4655_1'-1]
act_au07_34-40,['967_1'-1,'6486_1'-1,'5081_1'-1,'6679_1'-1,'6513_1'-1,'5989_1'-1,'2752_1'-1,'2502_1'-1,'4101_1'-1,'2878_1'-1,'2515_1'-1,'2149_1'-1,'2074_1'-1,'1677_1'-1,'1452_1'-1,'1281_1'-1,'396_1'-1,'340_1'-1,'91_1'-1]
act_au11_24-13,['6621_1'-1,'5942_1'-1,'2045_1'-1,'1524_1'-1]
act_au12_33-9,['156_1'-1,'140_1'-1,'4657_1'-1,'3532_1'-1,'1119_1'-1]
act_au14_28-19,['156_1'-1,'6207_1'-1,'5679_1'-1,'5205_1'-1,'4123_1'-1,'272_1'-1,'2068_1'-1,'221_1'-1]
act_au24_18-45,['7244_1'-1,'7180_1'-1,'652_1'-1,'6843_1'-1,'2150_1'-2,'6406_1'-1,'6225_1'-1,'2708_1'-1,'5863_1'-1,'5353_1'-1,'5261_1'-1,'2578_1'-1,'4831_1'-1,'4470_1'-1,'4365_1'-1,'4157_1'-1,'3995_1'-1,'3862_1'-1,'2872_1'-1,'3530_1'-1,'3290_1'-1,'2727_1'-1,'2648_1'-1,'2196_1'-1,'1830_1'-1,'1719_1'-1,'1539_1'-1,'768_1'-1,'552_1'-1,'247_1'-1]
act_au02_25-28,['1620_1'-1,'7186_1'-1,'7080_1'-1,'5547_1'-1,'5297_1'-1,'5010_1'-1,'4813_1'-1,'4651_1'-1,'4354_1'-1,'1089_1'-1,'3039_1'-1,'2893_1'-1,'1611_1'-1,'1457_1'-1]
act_au10_31-40,['6951_1'-1,'6845_1'-1,'6689_1'-1,'659_1'-1,'1043_1'-1,'760_1'-1,'5012_1'-1,'4908_1'-1,'4646_1'-1,'4406_1'-1,'4236_1'-1,'3291_1'-1,'3737_1'-1,'3604_1'-1,'3485_1'-1,'2976_1'-1,'2838_1'-1,'2694_1'-1,'2586_1'-1,'2331_1'-1,'2148_1'-1,'1667_1'-1,'1443_1'-1,'394_1'-1,'151_1'-1]
act_au17_12-46,['7402_1'-1,'7281_1'-1,'6442_1'-1,'3683_1'-1,'656_1'-1,'6237_1'-1,'6046_1'-1,'5875_1'-1,'5757_1'-1,'5093_1'-1,'4940_1'-1,'2717_1'-1,'4377_1'-1,'3062_1'-1,'2921_1'-1,'1639_1'-1,'2541_1'-1,'230_1'-1,'2076_1'-1,'769_1'-1,'661_1'-1,'254_1'-1]
act_au20_32-12,['1933_1'-1,'7019_1'-1,'3493_1'-1,'46_1'-1,'1524_1'-1,'1322_1'-1]
act_au23_5-41,['1933_1'-1,'2262_1'-1,'6522_1'-1,'6217_1'-1,'5255_1'-1,'5103_1'-1,'2717_1'-1,'4426_1'-1,'4379_1'-1,'4272_1'-1,'1684_1'-1,'3538_1'-1,'3290_1'-1,'3000_1'-1,'2916_1'-1,'1670_1'-1,'2637_1'-1,'2098_1'-1,'1724_1'-1,'1520_1'-1,'629_1'-1]
act_au06_35-6,['4652_1'-1,'1133_1'-1]
act_au07_35-40,['7578_1'-1,'7261_1'-1,'6927_1'-1,'6796_1'-1,'6675_1'-1,'5991_1'-1,'396_1'-1,'5234_1'-1,'4871_1'-1,'4772_1'-1,'4415_1'-1,'4235_1'-1,'3206_1'-1,'2877_1'-1,'2514_1'-1,'2149_1'-1,'1802_1'-1,'1352_1'-1,'634_1'-1,'320_1'-1,'89_1'-1]
act_au11_25-13,['6619_1'-1,'6190_1'-1,'6328_1'-1,'1043_1'-1,'5940_1'-1,'3466_1'-1,'1073_1'-1,'120_1'-1]
